line,category,dates_or_terms,support_status,support_note,text
10,document_metadata,May 2026,supported_with_note,Current file hash and git history place the active whitepaper after the May 2026 evidence updates.,**May 2026 revision**
12,document_metadata,2026-03-23,supported_with_note,"Nearest git commit is 0b6fa13 at 2026-03-23T02:08:10Z; line timestamp is 25 seconds earlier and should be treated as production metadata, not exact commit time.",**Originally published to production:** 2026-03-23 02:07:45 UTC
14,document_metadata,2026-05-31,supported_with_note,Current file hash and git history place the active whitepaper after the May 2026 evidence updates.,"**Current revision:** 2026-05-31, incorporating live Phase 1 testnet validator-list publication evidence and the Qwen3.6/SGLang deterministic replay artifacts."
22,other,,inventory,,"Post Fiat publishes every stage of each scoring round: raw evidence, a canonical snapshot, a pinned model/runtime manifest, per-validator scores with rationales from a self-hosted open-weight model, and a deterministic set-construction rule with explicit churn controls."
24,benchmark_or_reference,,inventory,,"The core technical requirement is rank-driven consensus stability: repeated executions on the same inputs must preserve pairwise rankings, top-k overlap, and inclusion decisions. The current validation uses Qwen/Qwen3.6-27B-FP8 through a pinned Modal/SGLang single-GPU stack; Appendix A reports exact replay on the saved XRPL UNL credibility benchmark and the 42-validator PFT Ledger task. These are single-stack proof-of-possibility results, not authority-transfer evidence."
26,phase1_publication,,supported_with_note,"Git history records scoring service commits for rounds 4, 5, 6, and 7 with VL sequences 2, 3, 4, and 5.","Deployment proceeds in phases. Phase 1 keeps foundation authority while publishing complete audit trails and is live on the public testnet, where rounds 4 through 7 completed with audit bundle CIDs, publication commits, and PFTL memo anchors. Phase 2 lets validators rerun scoring in shadow mode and measure convergence. Phase 3 transfers authoritative list content to validator-converged output and decentralizes publication infrastructure."
28,benchmark_or_reference,,inventory,,"The claim is narrow: validator-list publication can be made more auditable and contestable than today's opaque publisher process. It does not claim that model-assisted scoring has beaten simpler deterministic heuristics or that the current benchmark package justifies production authority transfer. Adjacent account-exclusion and Orchard/Halo2 privacy work exists in the broader `postfiatd` codebase, but it is covered in a [separate research note](/posts/orchard-privacy-research/) and is outside this paper's proof surface."
34,other,,inventory,,"Post Fiat turns validator-list publication from an opaque trust recommendation into a public evidence pipeline that validators can inspect, replay, challenge, and eventually recompute. Every inclusion decision has named inputs, a pinned scorer, a deterministic selector, signed artifacts, and an escalation path when reviewers disagree."
36,other,,inventory,,"Under a pinned SGLang single-GPU stack, the same snapshot and prompt can produce the same score map across repeated runs. The score still has to be judged; the gain is that the round becomes a replayable object rather than a private opinion."
40,other,,inventory,,"This belongs in a distinct Post Fiat network because validator-list publication is part of the network's trust product, not an external analytics feed. A standalone XRPL-side tool can advise a publisher; it cannot make artifact publication, shadow verification, on-chain anchoring, and validator convergence part of the ledger's default governance surface. The economic thesis is tied to adoption of a ledger with a visibly more legible validator-selection process, not to the mere existence of a scoring script."
