label,repo,path_or_url,status,sha256,git_commits,notes
whitepaper,postfiatorg.github.io,/home/postfiat/repos/postfiatorg.github.io/content/whitepaper.md,present,dceec07dbbb9f2f82e72adbbe96d95303e109b9ead7f4a37732a2b937b06a677,df760ae9ae0a0289944f6f415b5a2cbe8cc32936 2026-06-01T13:42:04+00:00 Update whitepaper for live validator publication | a90db654363a62fb2051855974a67b6dec762bd8 2026-05-06T00:05:48+00:00 Publish top-scoring whitepaper revision | 989880086c0217e4cec3a79895cc33c0140cd700 2026-05-05T20:31:56+00:00 Publish Orchard privacy research as Post Fiat post | 68ad34d4404d5af585638d2a247ff4d411345d59 2026-05-05T20:26:49+00:00 Move privacy appendix out of whitepaper | d2b2883a12af329e10faaaab37c2ceb828c7ad78 2026-05-05T19:34:34+00:00 Update whitepaper privacy appendix,site repository evidence
testnet_vl_content,postfiatorg.github.io,/home/postfiat/repos/postfiatorg.github.io/content/testnet_vl.json,present,a3e943b2b59c2d5065ea8e93ed1a82e79c1baf58f4fcd4632c3f2ac76cc27e86,c5906269b34ccd1742a563257969385104276227 2026-05-26T19:20:25+02:00 Scoring round 7 — VL sequence 5 | 33b1e30a14a76e7bdbc5c96275dcbedda1cae78f 2026-05-19T19:10:37+02:00 Scoring round 6 — VL sequence 4 | 00d927c222348989977e33adb98af315bbc5037a 2026-05-12T19:03:19+02:00 Scoring round 5 — VL sequence 3 | 940d866df4709b90a8ed5ebdf7c8e907b81d390e 2026-05-05T18:57:37+02:00 Scoring round 4 — VL sequence 2 | f51f2d9a0ce55bf864ee8d60ad3eb33bf0934be4 2026-05-05T18:48:35+02:00 Scoring round 3 — VL sequence 1,site repository evidence
testnet_vl_public_build,postfiatorg.github.io,/home/postfiat/repos/postfiatorg.github.io/public/testnet_vl.json,present,a3e943b2b59c2d5065ea8e93ed1a82e79c1baf58f4fcd4632c3f2ac76cc27e86,"cdb88ed44c0f9bbb15bd400e1da59984fcb4c190 2025-07-26T19:04:57+07:00 git commit -m ""chore: remove public/ from git tracking | ae4045a4599f162ad532ed7239d0b874d1ba5696 2025-06-30T07:40:45-04:00 Create testnet_vl.json",site repository evidence
live_validator_stats,postfiatorg.github.io,/home/postfiat/repos/postfiatorg.github.io/static/benchmarks/live-testnet-validator-stats.json,present,83ad51452c278e60f95300a8c0161ffb345d70db11fcd4152eed0fdb715ed93d,e61b19e0cf6382ad423486a905118d2bc090acc2 2026-05-03T18:23:12+00:00 Promote live validator stats on modal redesign | cd7576f95e6b31bd0ee459d2e3fce7d4d1ff1ed5 2026-03-23T16:19:39+00:00 Add live validator stats to homepage,site repository evidence
xrpl_replay_harness,postfiatorg.github.io,/home/postfiat/repos/postfiatorg.github.io/scripts/xrpl_validator_sglang_determinism.py,present,28da89311d047e032477a6593e1dd9aba59c486b8ef6a3e69257e16f32280454,a90db654363a62fb2051855974a67b6dec762bd8 2026-05-06T00:05:48+00:00 Publish top-scoring whitepaper revision,site repository evidence
xrpl_replay_raw,postfiatorg.github.io,/home/postfiat/repos/postfiatorg.github.io/static/benchmarks/xrpl-validator-sglang-determinism-20260505T205530Z.json,present,de3076a5ec71f6e5ae81392ccda62b0880ec60c92b2b98a44812997186dcdcb4,a90db654363a62fb2051855974a67b6dec762bd8 2026-05-06T00:05:48+00:00 Publish top-scoring whitepaper revision,site repository evidence
xrpl_replay_summary,postfiatorg.github.io,/home/postfiat/repos/postfiatorg.github.io/static/benchmarks/xrpl-validator-sglang-determinism-20260505T205530Z-summary.json,present,7f73e8b2f255bf4a7d65ce2c30e7646a8a19b497a44ebc62febe9c9658589ed0,a90db654363a62fb2051855974a67b6dec762bd8 2026-05-06T00:05:48+00:00 Publish top-scoring whitepaper revision,site repository evidence
xrpl_replay_domains,postfiatorg.github.io,/home/postfiat/repos/postfiatorg.github.io/static/benchmarks/xrpl-validator-sglang-determinism-20260505T205530Z-domains.csv,present,12833877ba0520e77fb3b4124712004fb523eba5b9b952dd228eeb7e1cbd9e1a,a90db654363a62fb2051855974a67b6dec762bd8 2026-05-06T00:05:48+00:00 Publish top-scoring whitepaper revision,site repository evidence
model_lift_baseline_report,postfiatorg.github.io,/home/postfiat/repos/postfiatorg.github.io/static/benchmarks/model-lift-baseline-20260601T154824Z/REPORT.md,present,c69e696d69be533e4f20ba07f0cc1a488ebbb377b6886f6234bb0360ea38db1f,5807733d38f2157c46a7c147ffffff1c1594caa6 2026-06-01T15:52:51+00:00 Add model lift baseline benchmark packet,site repository evidence
model_lift_adjudication_report,postfiatorg.github.io,/home/postfiat/repos/postfiatorg.github.io/static/benchmarks/model-lift-adjudication-20260601T165516Z/REPORT.md,present,061976ecf3105d8c0c58565f8d48a459c80f64e2463e642d46f197cba45a297f,451fa2a18f5bfdbeb833cd7cee7f6879d12e413d 2026-06-01T16:56:42+00:00 Add model lift adjudication packet,site repository evidence
