packet_id,amendment_or_event,historical_route,deterministic_route,qwen_replay_route,replay_default_vote,deterministic_severity,qwen_severity,historical_severity,qwen_vs_rule_delta,same_route,same_historical_alignment,unsafe_proceed
amm-post-launch-pool-discrepancy-2024,AMM post-launch pool discrepancy,DELAY_FOR_FIX,DELAY_FOR_FIX,DELAY_FOR_FIX,NO,2,2,2,0,true,true,false
amm-vote-reversal-2024,AMM / XLS-30 activation vote reversal,DELAY_FOR_FIX,DELAY_FOR_FIX,DELAY_FOR_FIX,NO,2,2,2,0,true,true,false
ammclawback,AMMClawback,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD,1,1,1,0,true,true,false
batch-obsolete,Batch,REJECT,REJECT,REJECT,NO,3,3,3,0,true,true,false
clawback,Clawback,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD,1,1,1,0,true,true,false
fix-amm-overflow-offer,fixAMMOverflowOffer,PROCEED,PROCEED,PROCEED,YES,0,0,0,0,true,true,false
lending-protocol,LendingProtocol,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD,1,1,1,0,true,true,false
mptokens-v1,MPTokensV1,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD,1,1,1,0,true,true,false
permission-delegation-obsolete,PermissionDelegation,REJECT,REJECT,REJECT,NO,3,3,3,0,true,true,false
permissioned-dex,PermissionedDEX,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD,1,1,1,0,true,true,false
permissioned-domains,PermissionedDomains,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD,1,1,1,0,true,true,false
single-asset-vault,SingleAssetVault,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD,1,1,1,0,true,true,false
token-escrow,TokenEscrow,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD_FOR_CHALLENGE,HOLD,1,1,1,0,true,true,false
